"CO_SEQ_ID";"NU_VTMID";"DT_VTMIDDT";"CO_VTMIDPREV";"ST_INVALID";"NO_NM";"NO_ABBREVNM";"AU_AUDIT_CREATE_DATETIME";"AU_AUDIT_CHANGE_DATETIME";"AU_AUDIT_CREATE_USERNAME";"AU_AUDIT_CHANGE_USERNAME";"NU_VERSION";"ST_REGISTRO_ATIVO";"ST_CHANGE_APPROVE"
"503055";"@brasil10421082535";;;;"Citrato Férrico Amoniacal";;"1505421979";"1505421979";"franco.pvizzotto";"1";"0";"ACTIVE";"APPROVED"
"503058";"@brasil19206314764";;;;"Cobimetinibe";;"1505421979";"1505421979";"franco.pvizzotto";"1";"0";"ACTIVE";"APPROVED"
"503059";"@brasil14768326527";;;"1";"Daratumumabe";;"1505421979";"1505421979";"franco.pvizzotto";"franco.pvizzotto";"0";"INACTIVE";"APPROVED"
"503060";"@brasil16222688653";;;;"Daratumumabe";;"1505421979";"1505421979";"franco.pvizzotto";"1";"0";"ACTIVE";"APPROVED"
"503061";"@brasil16808463991";;;;"Extrato de Allii cepae L. + Alantoína + Heparina Sódica";;"1505421979";"1505421979";"franco.pvizzotto";"1";"0";"ACTIVE";"APPROVED"
"503062";"@brasil15374254308";;;"1";"Extratos Alergênicos de Insetos Sugadores";;"1505421979";"1505421979";"franco.pvizzotto";"franco.pvizzotto";"0";"INACTIVE";"APPROVED"
"503063";"@brasil16445879875";;;"1";"Extratos Alergênicos de Insetos Sugadores";;"1505421979";"1505421979";"franco.pvizzotto";"franco.pvizzotto";"0";"INACTIVE";"APPROVED"
"503064";"@brasil16106636761";;;"1";"Extratos Alergênicos de Insetos Sugadores";;"1505421979";"1505421979";"franco.pvizzotto";"franco.pvizzotto";"0";"INACTIVE";"APPROVED"
"503065";"@brasil11195544488";;;"1";"Extratos Alergênicos de Insetos Sugadores";;"1505421979";"1505421979";"franco.pvizzotto";"franco.pvizzotto";"0";"INACTIVE";"APPROVED"
"503066";"@brasil17657812466";;;"1";"Extratos Alergênicos de Insetos Sugadores";;"1505421979";"1505421979";"franco.pvizzotto";"franco.pvizzotto";"0";"INACTIVE";"APPROVED"
"503067";"@brasil14702429178";;;"1";"Extratos Alergênicos de Insetos Sugadores";;"1505421979";"1505421979";"franco.pvizzotto";"franco.pvizzotto";"0";"INACTIVE";"APPROVED"
"503068";"@brasil10538708799";;;"1";"Extratos Alergênicos de Insetos Sugadores";;"1505421979";"1505421979";"franco.pvizzotto";"franco.pvizzotto";"0";"INACTIVE";"APPROVED"
"503069";"@brasil18586256770";;;;"Extratos Alergênicos de Insetos Sugadores";;"1505421979";"1505421979";"franco.pvizzotto";"1";"0";"ACTIVE";"APPROVED"
"503070";"@brasil11315157767";;;"1";"Extratos Alergênicos de Insetos Sugadores";;"1505421979";"1505421979";"franco.pvizzotto";"franco.pvizzotto";"0";"INACTIVE";"APPROVED"
"503071";"@brasil10817018830";;;;"Fenol + Mentol";;"1505421979";"1505421979";"franco.pvizzotto";"1";"0";"ACTIVE";"APPROVED"
"503072";"@brasil10139621160";;;;"Fibrinogênio + Aprotinina + Trombina ";;"1505421979";"1505421979";"franco.pvizzotto";"1";"0";"ACTIVE";"APPROVED"
"503073";"@brasil18247049615";;;"1";"Fibrinogênio + Aprotinina + Trombina ";;"1505421979";"1505421979";"franco.pvizzotto";"franco.pvizzotto";"0";"INACTIVE";"APPROVED"
"503074";"@brasil10816384907";;;"1";"Fibrinogênio + Aprotinina + Trombina ";;"1505421979";"1505421979";"franco.pvizzotto";"franco.pvizzotto";"0";"INACTIVE";"APPROVED"
