"id_vtm";"codigo_obm";"nome_vtm";"nome_vtm_abreviado";"ingredientes_cod_nome"
"412560";"@brasil10106890247";"Alogliptina";;
"288703";"@brasil10296720824";"Alogliptina + Metformina";;
"288704";"@brasil11430987119";"Alogliptina + Pioglitazona";;
"11254";"@brasil12290880699";"Alopurinol";;
"11255";"@brasil18646232808";"Alprazolam";;
"42723";"@brasil16780814020";"Alprostadil";;
"42724";"@brasil17276406619";"Alteplase";;
"11256";"@brasil16358522255";"Amantadina";;
"11257";"@brasil15853913160";"Ambrisentana";;
"42725";"@brasil16039591342";"Ambroxol";;
"790551";"@brasil55101";"Amburana Cearensis (Cumaru)";;
"42726";"@brasil18368737163";"Amicacina";;
"288705";"@brasil16264773434";"Amidotrizoato de Sódio + Amidotrizoato de Meglumina";;
"288706";"@brasil17030906123";"Amifostina";;
"11258";"@brasil10193999343";"Amilorida + Clortalidona";;
"11259";"@brasil13408257544";"Amilorida + Hidroclorotiazida";;
"288707";"@brasil16360210622";"Amiltrina";;
"11260";"@brasil16459289998";"Aminaftona";;
"11261";"@brasil12071677670";"Aminobenzoato de Potássio";;
"11262";"@brasil10980518664";"Aminofilina";;
"288708";"@brasil10708335050";"Aminolevulinato";;
"11263";"@brasil18687560620";"Amiodarona";;
"11264";"@brasil10496247419";"Amissulprida";;
"11265";"@brasil16418555541";"Amitriptilina";;
"11266";"@brasil10604035760";"Amitriptilina + Clordiazepóxido";;
"42727";"@brasil13724912099";"Amorolfina";;
"11267";"@brasil13764512485";"Amoxicilina";;
"11268";"@brasil17010455453";"Amoxicilina + Ácido Clavulânico";;
"790548";"@brasil015672";"Amoxicilina + Clavulanato de Potássio";;"7021 - amoxicilina,7653 - clavulanato de potássio"
"11269";"@brasil13758740119";"Amoxicilina + Sulbactam";;
"11270";"@brasil17762334547";"Ampicilina";;
"42728";"@brasil13518349316";"Ampicilina + Sulbactam";;
"11271";"@brasil17535452689";"Amprenavir";;
"11272";"@brasil14390260114";"Anagrelida";;
"11273";"@brasil19344942809";"Anastrozol";;
"11274";"@brasil13553934015";"Anfepramona";;
"42729";"@brasil16417010589";"Anfotericina B";;
"42730";"@brasil11530005308";"Anfotericina B Lipossomal";;
"42731";"@brasil18398995079";"Anidulafungina";;
"11275";"@brasil19734841955";"Anlodipino";;
"11276";"@brasil18012408042";"Anlodipino + Atenolol";;
"11277";"@brasil10857514654";"Anlodipino + Atorvastatina";;
"11278";"@brasil10250349453";"Anlodipino + Benazepril";;
"11279";"@brasil18679203611";"Anlodipino + Enalapril";;
"11280";"@brasil12644970008";"Anlodipino + Losartana";;
"42732";"@brasil17404959784";"Antimoniato de Meglumina";;
"11283";"@brasil18444721043";"Apixabana";;
"11284";"@brasil18219741961";"Aprepitanto";;
"11285";"@brasil15764546984";"Arginina";;
"288659";"@brasil14812278713";"Arginina + Ácido Ascórbico";;
"11286";"@brasil14163509349";"Arginina + Ornitina + Citrulina";;
"288709";"@brasil14461043693";"Argipressina";;
"11287";"@brasil13523906098";"Aripiprazol";;
"42734";"@brasil16924190917";"Arteméter";;
"11288";"@brasil15129002755";"Arteméter + Lumefantrina";;
"42735";"@brasil19137512917";"Artesunato";;
"11289";"@brasil15073295788";"Artesunato + Mefloquina";;
"790533";"@brasil18369259188";"Artesunato de Sódio";;
"288710";"@brasil10180213627";"Articaína + Epinefrina";;
"11290";"@brasil19979470984";"Asenapina";;
"42736";"@brasil14914992147";"Asparaginase";;
"11291";"@brasil14677467870";"Aspartato de Magnésio + Carbonato de Cálcio + Ranitidina + Colecalciferol";;
"42737";"@brasil17162422291";"Aspartato de Ornitina";;
"790552";"@brasil55101";"Associações com aminoácidos";;
"11292";"@brasil13448926705";"Atazanavir";;
"11293";"@brasil13212230225";"Atenolol";;
"11294";"@brasil15714371319";"Atenolol + Clortalidona";;
"11295";"@brasil18935166231";"Atenolol + Nifedipino";;
"288711";"@brasil17517937361";"Atomoxetina";;
"11296";"@brasil17532717507";"Atorvastatina";;
"790534";"@brasil14233080737";"Atorvastatina Cálcica";;
"288712";"@brasil17049046238";"Atosibana";;
"42738";"@brasil11067135324";"Atracúrio";;
"42739";"@brasil13848410055";"Atropina";;
"288713";"@brasil12691419414";"Axetilcefuroxima";;
"288714";"@brasil12309958665";"Axitinibe";;
"42740";"@brasil16040644612";"Azacitidina";;
"11297";"@brasil10858089150";"Azatioprina";;
"42741";"@brasil18657993205";"Azelastina";;
"288715";"@brasil13475535392";"Azelastina + Fluticasona";;
"412561";"@brasil19241805334";"Azilsartana Medoxomila";;
"288716";"@brasil10447801276";"Azilsartana Medoxomila + Clortalidona";;
"11298";"@brasil11692293538";"Azitromicina";;
"42742";"@brasil15168032500";"Aztreonam";;
"790535";"@brasil16057626432";"Azul de Metileno";;
"790536";"@brasil17588890256";"Azul de Trypan";;
"288717";"@brasil11812400511";"Bacillus cereus";;
"11299";"@brasil15887200547";"Baclofeno";;
"42743";"@brasil19866183193";"Bambuterol";;
"11300";"@brasil14359122433";"Bamifilina";;
"42744";"@brasil13826818775";"Basiliximabe";;
"11301";"@brasil14134010833";"Beclometasona";;
"288718";"@brasil17718599034";"Beclometasona + Formoterol";;
"42745";"@brasil19535544605";"Beclometasona + Salbutamol";;
"288719";"@brasil13155793949";"Belatacepte";;
"42746";"@brasil16197267011";"Belimumabe";;
"288720";"@brasil12623172953";"Bemiparina Sódica";;
"11302";"@brasil17592687174";"Benazepril";;
"11303";"@brasil15561403682";"Benazepril + Hidroclorotiazida";;
"11304";"@brasil15028957196";"Benciclano";;
"42747";"@brasil12379701548";"Bendamustina";;
"42748";"@brasil13306707015";"Benfotiamina";;
"790537";"@brasil19771572293";"Benjoim";;
"288664";"@brasil19311860359";"Benzalcônio + Ácido Bórico";;
"42749";"@brasil19394430739";"Benzalcônio + Cetrimônio";;
"42750";"@brasil17052032961";"Benzalcônio + Cloreto de Sódio";;
"11305";"@brasil18460575245";"Benzbromarona";;
"42751";"@brasil17076872899";"Benzidamina";;
"42752";"@brasil14228265921";"Benzilpenicilina Benzatina";;
"42753";"@brasil19910711215";"Benzilpenicilina Potássica";;
"288721";"@brasil13648483224";"Benzilpenicilina Procaína";;
"42754";"@brasil16868758625";"Benzilpenicilina Procaína + Benzilpenicilina Potássica";;
"11306";"@brasil17216004948";"Benznidazol";;
"42755";"@brasil14611659788";"Benzoato de Benzila";;
"42756";"@brasil12452023374";"Benzoato de Sódio";;
"288722";"@brasil10372897572";"Benzocaína";;
"503028";"@brasil13153218107";"Benzocaína +  Borato de Sódio + Cetilpiridínio";;
"790553";"@brasil1712151402";"Benzocaína + Benzoxiquina + Benzetônio + Mentol";;
"288723";"@brasil10919038494";"Benzocaína + Bicarbonato de Sódio + Cloreto de Potássio";;
"503029";"@brasil10636350595";"Benzocaína + Dequalínio";;
"288724";"@brasil13476500066";"Benzocaína + Tirotricina";;
"42757";"@brasil18425137816";"Benzocaína + Triclosana + Mentol";;
"42758";"@brasil14769619268";"Benzoilmetronidazol";;
"288725";"@brasil14625385155";"Benzoilmetronidazol + Nistatina + Benzalcônio";;
"42759";"@brasil18572683200";"Beractanto";;
"288726";"@brasil12697425886";"Besifloxacino";;
"11307";"@brasil10698299314";"Betacaroteno";;
"42760";"@brasil18554558508";"Betaepoetina";;
"288727";"@brasil19610974274";"Betaepoetina Metoxipolietilenoglicol";;
"42761";"@brasil17054743250";"Betafolitropina";;
"42762";"@brasil19610041033";"Betagalsidase";;
"42763";"@brasil16885975725";"Betainterferona 1a";;
"42764";"@brasil15599755834";"Betainterferona 1b";;
"11308";"@brasil11843482032";"Betaistina";;
"11309";"@brasil17122512529";"Betametasona";;
"42765";"@brasil17340852306";"Betametasona + Ácido Salicílico ";;
"42766";"@brasil19904994338";"Betametasona + Formoterol";;
"42767";"@brasil17502415082";"Betametasona + Gentamicina";;
